"research_gap_id","content_type","topic_title","category","primary_keyword","secondary_keywords","search_volume","keyword_difficulty","priority","topic_type","target_competitor","our_competitive_advantage","word_count_target","expert_required","estimated_ranking_time","estimated_monthly_traffic","internal_linking_opportunities","content_upgrade_idea","regulatory_requirements","approval_status","model_used","browser_search_enabled","topic_id","created_at"
"GAP-069","ymyl","Tax‑Saving Strategies for Salaried Professionals FY 2025‑26","tax_planning","tax saving strategies 2025","best tax saver funds 2025,nps tax benefits 2025,salary tax planning tips","13800","26","High","competitive_strike","ETMoney","Up‑to‑date tax slabs, ELSS vs NPS comparison tool, downloadable checklist","2100","true","30","8000","salary-tax-planning,elss-vs-nps,investment-tax-deductions","Tax Saving Strategy Checklist PDF","Income Tax Act compliance, SEBI disclaimer for investment advice","Yes","openai/gpt-oss-20b","1","TOPIC-840","2025-10-23T16:10:51.868Z"
"GAP-042","ymyl","Tax‑Saving Investment Strategies Beyond 80C FY 2025‑26","tax_planning","tax saving investments 2025","best ELSS funds 2025,NPS tax benefits,digital gold tax 2025","11200","29","High","competitive_strike","ETMoney","Comprehensive table of all tax‑saving instruments, calculator for total tax saved, expert commentary on upcoming budget changes","2400","true","35","7000","tax-saving-instruments,elss-funds,investment-tax-benefits","Tax Saving Investment Calculator","Income Tax Act, SEBI disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-841","2025-10-23T16:10:51.868Z"
"GAP-068","ymyl","Retirement Planning Blueprint: Build ₹5 Crore Corpus by 2045","retirement_planning","retirement planning india","how to build retirement corpus,retirement calculator 2025,best retirement funds india","10200","31","High","competitive_strike","ETMoney","Interactive retirement calculator, scenario analysis, expert video series","3200","true","40","6500","retirement-corpus-builder,retirement-scenario-analysis,retirement-funds","Interactive Retirement Calculator","SEBI risk disclaimer, RBI pension guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-842","2025-10-23T16:10:51.868Z"
"GAP-035","ymyl","Retirement Planning Roadmap for Indian Professionals 2025","retirement_planning","retirement planning roadmap","NPS,asset allocation,retirement strategy 2025","9700","25","High","competitive_strike","ETMoney","Interactive retirement calculator, asset‑allocation timeline, tax‑saving strategies, video interview with pension expert","2800","true","45","6000","nps-benefits,asset-allocation-plan,retirement-roadmap","Retirement Roadmap PDF","SEBI NPS guidelines, RBI pension fund rules, mandatory risk disclosures","Yes","openai/gpt-oss-20b","1","TOPIC-843","2025-10-23T16:10:51.868Z"
"GAP-116","ymyl","Tax‑Efficient Investment Strategies for Salaried Professionals 2025","tax_planning","tax efficient investment india","tax saving investments 2025,best tax saving funds india,tax planning for salaried","13000","26","High","competitive_strike","ETMoney","Interactive tax‑saving calculator, downloadable tax‑saving plan, expert video series","2600","true","30","9000","tax-saving-plan,investment-tax-deductions,financial-planning","Tax Saving Plan Template","Income Tax Act disclaimer, SEBI risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-844","2025-10-23T16:10:51.868Z"
"GAP-066","ymyl","Maximizing Tax Savings with ELSS, NPS & Insurance 2025","tax_planning","tax saving strategies india 2025","best elss funds 2025,how to invest in nps,insurance tax benefits india","11500","29","High","competitive_strike","ETMoney","Side‑by‑side calculator, scenario analysis, compliance checklist","2600","true","30","8000","elss-funds,insurance-tax-benefits,nps-investment","Tax Saving Comparison Calculator","Income Tax Act references, SEBI ELSS guidelines","Yes","openai/gpt-oss-20b","1","TOPIC-845","2025-10-23T16:10:51.868Z"
"GAP-005","ymyl","Step‑by‑Step Guide to Filing ITR for High‑Income Professionals 2025","tax_planning","how to file itr high income","itr filing guide 2025,tax filing for salaried professionals,high income tax deductions","9800","32","Medium","authority_builder","ETMoney","Downloadable checklist, video walkthrough, integration with PL Capital advisory service","3000","true","40","5500","itr-filing-checklist,high-income-tax-deductions,pl-capital-advisory","ITR Filing Checklist PDF","Income Tax Act compliance, disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-846","2025-10-23T16:10:51.868Z"
"GAP-013","ymyl","Step‑by‑Step Guide to Section 80C & 80D Tax Deductions FY 2025‑26","tax_planning","section 80c tax deduction 2025","section 80d limit 2025,tax saving investments FY 2025,how to claim 80c","9800","32","Medium","authority_builder","ETMoney","Up‑to‑date 2025‑26 limits, real‑world case studies, downloadable checklist","2200","true","40","5500","80c-80d-deductions,investment-tax-deductions,case-studies","80C/80D Deduction Checklist","SEBI & RBI compliance, disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-847","2025-10-23T16:10:51.868Z"
"GAP-001","ymyl","Index Funds vs Mutual Funds 2025: Complete Guide","mutual_funds","index funds vs mutual funds","best index funds 2025,index fund calculator,passive investing india","12000","28","High","authority_builder","Groww","Include 2025 expense ratio data, interactive calculator, video comparisons, expert CFA quotes","2500","true","60","8500","passive-investing-guide,sip-calculator,mutual-fund-taxation","Interactive Index Fund vs Mutual Fund Calculator","SEBI disclaimer,Risk warning,Past performance disclaimer","Yes","openai/gpt-oss-20b","1","TOPIC-848","2025-10-23T16:10:51.868Z"
"GAP-018","ymyl","2025 Mutual Fund Expense Ratio Comparison Guide","mutual_funds","mutual fund expense ratio 2025","mutual fund fees comparison,lowest expense ratio funds india,expense ratio calculator","14000","27","High","authority_builder","Groww","Real‑time API feed of expense ratios, interactive sortable table, downloadable CSV, expert commentary on fee impact","2200","true","60","9500","expense-ratio-comparison,mutual-fund-fees,investment-costs","Expense Ratio Comparison CSV","SEBI disclosure, risk warning","Yes","openai/gpt-oss-20b","1","TOPIC-849","2025-10-23T16:10:51.868Z"
